Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
2	2340	2816	3026
2	4	2800	3026
2	4	2800	3022
2	4	2800	3022
2	4	2800	3022
2	4	2800	3022
2	4	2802	3022
2	4	2802	3022
2	4	2802	3022
2	2340	2802	3022
2	2340	2802	3022
2	2340	2798	3022
2	2340	2798	3016
2	2340	2798	3016
2	4	2798	3016
2	4	2798	3016
2	4	2800	3016
2	4	2800	3016
2	1896	2800	3016
2	1896	2800	3016
2	1896	2800	3016
2	2336	2796	3016
2	2336	2796	2998
2	2336	2796	2998
2	2336	2796	2998
2	2336	2796	2998
2	4	2804	2998
2	4	2804	3000
2	4	2804	3000
2	4	2804	3000
2	4	2804	3000
2	4	2810	3000
2	4	2810	3000
44	4	2810	3000
44	4	2810	3000
850	4	2810	3000
850	4	3302	3000
850	4	3302	38
850	4	3302	38
850	4	3302	38
2	4	1180	38
2	4	1180	38
2	4	1180	38
2	4	2822	38
2	4	2822	38
2	4	2822	1576
2	4	2822	1576
2	4	2822	3018
2	4	2820	3018
2	4	2820	3018
2	4	2820	3018
2	4	2820	3018
2	4	2818	3016
2	4	2818	3016
2	4	2818	3016
2	4	2818	3016
2	4	2818	3016
2	4	2814	3014
2	4	2814	3014
2	4	2814	3014
2	4	2814	3014
2	4	2814	3014
2	4	2818	3012
1304	4	2818	3012
1304	4	2818	3012
1304	4	2818	3012
1304	4	2818	3012
1304	4	2816	3020
2	4	2816	3020
2	4	2816	3020
2	4	2816	3020
2	4	2816	3020
2	4	2814	3022
2	4	2814	3022
2	4	2814	3022
2	4	2814	3022
2	4	2814	3022
2	4	2820	3020
2	4	2820	3020
2	4	2820	3020
2	4	2820	3020
2	4	2820	3020
2	4	2814	3020
2	4	2814	3020
2	4	2814	3020
2	4	2814	3020
2	4	2814	3020
2	4	2814	3016
2	4	2816	3016
2	4	2816	3016
2	4	2816	3016
270	4	2816	3016
270	4	2810	3016
1304	4	2810	3016
1304	4	2810	3016
1304	4	2810	3016
1304	4	2810	3016
1304	4	3296	38
2	4	3296	38
2	4	3296	38
2	4	3296	38
2	4	2830	38
2	2	2830	38
2	2	2830	38
2	2	2830	38
2	2	2830	1552
2	2	2820	1552
2	2	2820	3034
2	2	2820	3034
2	2	2820	3034
2	2	2820	3034
2	2	2812	3034
2	2	2812	3028
2	2	2812	3028
2	2	2812	3028
2	2	2812	3028
2	2	2814	3028
2	2	2814	36
2	2	2814	36
2	2	2814	36
2	2	2814	0
2	2	2814	0
1314	2	2798	0
1314	2	2798	0
1314	2	2798	0
1314	2	2798	0
1314	2	2798	0
2	2	2800	0
2	2	2800	0
2	2	2800	0
2	2	2800	0
2	2	2804	0
2	2	2804	0
2	2	2804	0
2	2	2804	0
2	2	2804	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
1058	2	2798	0
1058	2	2800	0
260	2	2800	0
260	2	2800	0
260	2	2800	0
260	2	2800	0
260	2	2794	0
2	2	2794	0
2	2	2794	0
2	2	2794	0
2	2	2794	0
2	2	3276	0
2	2	3276	0
2	2	3276	0
2	2	3276	0
2	2	1020	0
2	2	1020	0
2	2	2808	0
2	2	2808	0
2	2	2808	0
2	2	2808	0
2	2	2808	0
2	2	2804	0
2	2	2804	0
2	32	2804	0
2	32	2804	0
2	2424	2804	0
2	2424	2802	0
2	2424	2802	0
2	2424	2802	0
1166	2424	2802	0
1166	2362	2802	0
234	2362	2802	0
234	2362	2798	0
234	2362	2798	0
234	2362	2798	0
234	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2798	0
2	2	2796	0
2	2	2796	0
2	2	2796	0
2	2	2796	0
2	2	2796	0
2	2	2792	0
2	2	2792	0
2	2	2792	0
2	2	2792	0
2	2	2792	0
2	2	2794	0
2	2	2794	0
2	2	2794	0
1320	2	2794	0
1320	2	2794	0
1320	2	2796	0
1320	2	2796	0
1320	2	2796	0
2	2	2796	0
2	2	2796	0
2	2	2796	0
2	2	2792	0
2	2	2792	0
2	2	2792	0
2	2	2792	0
2	2	2790	0
2	2	2790	0
2	2	2790	0
2	2	2790	0
2	2	2790	0
2	2	3270	0
2	2	3270	0
2	2	3270	0
2	2	3270	0
2	2	3270	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
1324	2	32	0
1324	2	32	0
1324	2	32	0
1324	2	32	0
1324	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
2	2	32	0
1298	2	32	0
1298	2	32	0
1298	2	32	0
1298	2	32	0
